Song,Date,Number of Plays
Alisha,2012-03-03,345
Margarette,1930-01-03,281
Kalina,2004-09-03,268
Merci,1913-02-23,221
Barbara,1946-11-22,370
Merci,1906-06-14,953
Clary,1987-04-27,292
Nonnah,1951-11-12,754
Bettine,1917-09-20,658
Thalia,2017-07-30,924
Chandra,1960-01-17,383
Brianna,1995-08-15,302
Sissy,1995-08-11,141
Sallie,1983-02-15,272
Fayre,1909-09-10,98
Halette,1968-10-17,296
Tilly,1993-05-16,166
Felice,1931-12-03,545
Lory,1901-02-26,384
Abbie,1976-09-20,500
Fanny,2002-02-28,964
Dede,1949-02-21,272
Jennica,1937-02-12,692
Merle,1930-04-29,323
Keelia,1987-09-09,496
Angela,1939-08-25,297
Rori,1994-03-29,297
Annora,2005-08-13,375
Malina,1978-10-26,24
Lesly,1959-02-17,554
Elena,1994-08-14,59
Sue,2018-12-17,777
Jenilee,1974-08-15,780
Nannie,1994-05-30,659
Noelle,1910-04-22,49
Ofilia,1911-11-15,226
Corry,1926-01-27,494
Hollie,2019-05-21,249
Maye,1900-06-22,647
Ricky,1943-09-23,38
Maud,1947-01-22,4
Violet,1918-05-14,506
Emma,1969-11-04,581
Merry,1915-07-05,492
Gwyneth,1970-08-03,76
Edyth,1972-02-09,583
Gusty,2005-09-21,789
Susan,1904-05-24,302
Jacenta,2005-08-05,251
Jemie,1943-09-25,355
Elka,1904-01-25,67
Deloria,1962-06-21,321
Carly,2003-09-29,954
Sarette,1942-06-17,81
Brynna,1950-09-16,677
Odessa,1904-02-04,973
Modestia,1911-06-28,394
Alleen,1920-06-24,677
Netty,1912-04-08,611
Olwen,1941-06-26,404
Valera,1985-07-17,29
Moyna,1954-01-06,391
Yvonne,1927-05-21,762
Jsandye,1913-05-23,56
Dulce,2013-05-25,803
Minda,2008-01-05,285
Arabel,1991-06-14,796
Bill,2012-11-28,186
Netty,2005-02-04,509
Annabela,1959-12-15,883
Harmonia,1950-02-10,378
Sophia,1997-03-12,158
Tomasina,1948-08-16,994
Roxane,1939-09-20,657
Lolita,1931-02-04,296
Dagmar,1976-06-28,996
Ardenia,1987-12-01,931
Candy,1900-06-25,871
Carmela,1982-03-09,145
Ardenia,1967-03-27,710
Allyce,1908-09-20,833
Celene,1953-04-03,54
Raf,1977-04-19,779
Dacia,1941-08-02,407
Chloris,1901-11-13,207
Gretal,1922-07-05,33
Brianna,1925-08-19,836
Cordi,1997-02-19,690
Kathi,1911-02-28,697
Raf,1947-11-30,621
Sonni,1978-10-07,110
Lyssa,1952-02-23,425
Hannis,1960-05-03,268
Gusty,1997-02-24,860
Calla,1992-02-22,462
Nikki,1982-12-08,91
Lacie,1947-02-12,146
Aeriela,1998-03-24,957
Karolina,1960-09-06,371
Zia,1956-12-12,797
Rori,1912-06-11,41
Ayn,1989-06-20,396
Gavrielle,1905-01-11,767
Aaren,1976-07-09,279
Debee,1986-11-13,790
Daphne,1910-12-01,183
Neila,1993-10-31,491
Tatiania,1908-08-03,954
Vonny,1925-02-18,492
Marika,1924-11-14,347
Penelopa,1907-01-27,428
Lusa,1990-10-29,401
Ardys,1937-07-06,143
Nicoli,2002-02-07,737
Aimil,1947-09-24,156
Ariela,1906-09-05,295
Ardeen,1956-03-02,347
Lisette,1916-06-12,399
Kittie,2014-06-24,912
Adore,1983-05-20,486
Althea,1915-09-12,833
Nannie,1954-12-22,589
Gilligan,1906-07-09,224
Zaria,1904-10-10,787
Nessie,1909-01-16,386
Camile,1945-05-12,525
Dorthy,1949-01-19,471
Wynne,2001-09-23,423
Harrietta,1964-11-28,834
Rosene,1996-11-27,481
Alexine,2017-07-03,972
Heddie,2016-07-26,553
Katuscha,1947-08-25,223
Dolli,2008-03-26,739
Tomasina,1961-11-21,118
Merci,1906-03-06,45
Loree,1997-03-30,234
Tori,1960-07-12,465
Leona,2007-02-11,186
Liana,1917-01-15,139
Gavrielle,2007-10-19,334
Adore,1975-06-09,634
Brana,2015-02-18,376
Ariela,1968-04-02,675
Raf,1928-07-10,533
Eve,1943-01-27,712
Malina,1903-12-29,784
Nanete,1982-06-03,711
Renae,1950-10-23,442
Dode,1963-10-15,198
Audrie,1950-02-27,805
Ethel,1946-06-27,930
Kristina,1979-06-01,271
Dode,1999-11-10,275
Katleen,1969-07-29,745
Karlee,1985-06-03,857
Tonia,2009-08-09,585
Sabina,2018-04-03,183
Odessa,1948-05-16,41
Talya,1995-04-19,481
Gianina,2002-12-03,63
Kara-Lynn,1976-09-10,315
Averyl,1927-05-16,32
Elora,1914-09-25,285
Lisette,1916-06-10,330
Giustina,1927-03-21,144
Madalyn,1909-02-11,304
Angela,1947-03-16,534
Rochette,1998-04-01,963
Malina,1959-05-19,643
Joy,2019-06-22,776
Angelique,1965-02-13,505
Adore,2018-02-18,748
Lauryn,1932-10-06,366
Karlee,1972-08-16,627
Hollie,1907-11-26,966
Konstance,2009-01-12,210
Annaliese,1950-02-22,616
Lita,1936-12-19,767
Kaja,1963-01-25,888
Sonni,1960-07-02,242
Amelia,1906-05-18,106
Felice,1936-10-11,929
Margette,1924-01-23,704
Georgetta,2000-12-11,336
Jacenta,1999-05-31,593
Hollie,1923-11-05,302
Robinia,1953-06-06,368
Marita,1913-03-25,649
Vinita,1920-09-02,203
Gianina,1930-12-22,76
Tatiania,2012-03-24,759
Fredericka,1985-05-08,362
Elise,1919-04-13,790
Ardys,1932-08-06,97
Vivia,1949-12-07,278
Renae,1969-12-08,713
Magdalena,1905-07-26,975
Gavrielle,1927-06-05,825
Hettie,1960-05-08,271
Edyth,1925-05-13,469
Larine,1974-06-08,147
Ellette,1991-06-10,889
Nelle,2004-01-06,913
Elise,1941-04-02,621
Lusa,1928-11-03,217
Eve,1907-09-18,944
Allis,1950-12-10,264
Dacia,1953-11-18,403
Rosene,1912-09-01,386
Bill,1920-10-19,831
Giustina,1974-02-22,851
Marcy,2004-12-31,559
Kalina,1955-03-11,800
Rori,1917-04-06,31
Helsa,1943-11-02,460
Dotty,1928-02-16,109
Sallie,1994-03-03,647
Kate,1972-07-19,174
Chandra,1976-02-25,691
Cindelyn,1905-08-05,858
Ada,1942-08-12,718
Aaren,1921-04-29,396
Peri,1984-03-30,727
Ketti,1911-10-02,764
Roseline,1920-10-09,128
Blinni,1984-06-07,32
Sibella,1969-01-20,775
Libbie,1994-11-16,959
Annora,1977-06-08,865
Nerta,1997-10-13,36
Roseline,1974-01-29,476
Brooks,1972-06-17,472
Daryl,1993-02-26,556
Zia,1943-04-24,853
Addia,2010-10-21,465
Amelia,1960-06-24,982
Nicoli,1967-02-19,233
Nonnah,1926-11-30,824
Devina,1949-05-18,93
Cathyleen,2007-08-03,55
Belva,1936-01-06,161
Tybie,2006-05-12,345
Mignon,1977-03-10,833
Penelopa,1978-11-22,652
Doro,1917-04-08,325
Molli,2002-08-13,872
Chere,1938-05-05,490
Elie,1908-11-16,120
Augustine,1978-06-02,855
Pierette,1950-12-11,263
Robinia,1916-12-16,8
Rochette,1987-06-29,730
Kayla,1984-11-30,575
Delilah,2011-11-13,403
Valeda,1937-12-30,952
Deloria,1988-07-22,405
Angela,1982-10-10,372
Sue,1929-11-16,428
Mellicent,1936-09-23,314
Nikki,2001-04-04,573
Thalia,1954-03-11,582
Bernie,1937-12-27,888
Zaria,2015-11-21,831
Wynne,1990-12-13,510
Cam,1944-04-16,140
Nonnah,2015-04-25,726
Tonia,1978-06-22,158
Beth,1905-05-05,947
Daune,1913-01-22,670
Kaia,2003-02-12,120
Jolyn,1916-09-05,655
Kenna,2007-10-10,518
Edyth,1937-09-25,708
Kristina,2011-04-08,241
Mildrid,1922-10-30,356
Cristabel,1963-10-24,75
Cyb,1963-11-27,624
Jackie,1988-07-22,486
Trudie,1986-10-18,647
Christal,1929-01-25,808
Flo,2009-02-06,422
Ottilie,1908-10-17,48
Natka,1906-03-04,139
Oona,1924-11-22,661
Chastity,2014-10-22,763
Nerta,1927-06-30,241
Petronia,2003-01-14,630
Krystle,2014-04-25,906
Giustina,1966-08-21,639
Tobe,1997-04-22,502
Ann-Marie,1962-12-01,1
Ana,1973-06-02,27
Sandie,1964-11-10,905
Violet,1974-11-13,799
Cassandra,1962-06-01,434
Mignon,2001-05-22,828
Tiffie,1901-08-14,986
Shel,1957-11-05,760
Corene,2017-03-25,66
Fernande,1982-06-08,213
Kathi,1963-06-25,676
Barbara,1991-06-04,75
Pamella,1958-09-22,104
Blake,1996-10-27,134
Rochette,1956-07-03,33
Amii,1985-12-20,482
Lesly,2014-09-04,772
Lorie,1904-06-10,908
Kimberley,1938-11-23,873
Gabi,1941-07-19,995
Marline,1905-11-05,973
Leia,2006-10-14,730
Tina,1917-02-18,755
Beverley,1933-01-04,241
Katharina,2012-03-29,743
Loree,2011-11-22,814
Zsa Zsa,1977-09-22,710
Corina,1914-09-22,322
Nicoli,1995-03-11,678
Leeanne,2019-07-05,277
Arlena,1977-03-01,149
Jobi,2009-10-07,511
Shaylyn,2018-01-01,828
Doralynne,1943-12-07,779
Inga,1981-07-17,862
Charmaine,2012-09-21,571
Ivett,1970-12-30,998
Concettina,1932-11-21,164
Dotty,2007-11-03,850
Cacilie,1916-03-27,953
Joy,1929-03-02,521
Beth,1947-09-28,823
Dianemarie,1909-07-13,279
Darlleen,2000-01-31,958
Merle,2012-01-13,204
Mallory,1995-12-13,893
Fidelia,1930-07-18,36
Shauna,1912-01-19,217
Noelle,1948-10-08,510
Tarra,1933-08-15,455
Roseline,1973-01-13,688
Luci,1917-09-08,882
Lusa,1906-11-08,866
Wendi,1978-03-12,238
Mahalia,1906-03-28,329
Donetta,2016-09-29,951
Belva,2002-04-15,667
Candy,1940-05-29,724
Fawne,1904-02-07,29
Margalo,1925-06-21,422
Melodie,1930-07-10,921
Cherrita,1943-12-26,140
Deedee,1908-06-01,757
Leona,1947-09-27,842
Jsandye,2018-05-24,743
Tabbatha,1925-10-26,911
Randa,1936-06-11,374
Oralee,1903-08-08,424
Linzy,1972-09-05,112
Gusty,1953-10-31,646
Vinita,1936-02-15,757
Livvyy,1947-06-16,375
Christy,1948-01-28,457
Mary,1978-11-25,763
Cacilie,1957-09-21,766
Tilly,2006-09-14,924
Stephanie,2018-09-18,795
Agathe,1998-03-13,479
Karlee,1901-05-29,481
Tracey,1980-01-30,906
Renae,1902-11-16,120
Jinny,1962-09-09,521
Lorne,2018-05-02,578
Gloria,2012-01-24,436
Krystle,1928-02-08,32
Stephanie,1951-08-04,106
Sarette,1983-05-16,530
Joelly,2014-01-09,309
Chandra,1950-03-13,988
Esmeralda,1960-11-02,501
Anestassia,1963-05-06,271
Lucy,2011-06-18,813
Albertina,1994-03-07,450
Kenna,1978-01-22,944
Gabriellia,1929-03-01,684
Agathe,1975-06-08,179
Edyth,1974-11-09,851
Meg,2018-04-01,288
Linet,1951-07-10,318
Brietta,1907-05-19,157
Berget,1977-03-17,376
Leeanne,1936-07-13,409
Leontine,1964-05-05,621
Cindelyn,1911-07-07,631
Camile,2003-07-29,831
Paola,1989-12-06,183
Teddie,1972-06-14,879
Caressa,1975-07-08,815
Bernardine,1981-10-10,142
Estell,1913-06-14,96
Correy,2010-04-23,464
Albertina,1949-06-16,900
Vivia,1976-03-23,311
Sherrie,2010-04-13,637
Renie,1977-01-30,490
Tera,1922-08-17,113
Fina,1903-12-28,448
Marguerite,1931-01-25,123
Raina,1923-03-16,807
Sashenka,1988-03-28,938
Concettina,2011-03-13,879
Madelle,1964-07-30,612
Glenda,1991-05-08,656
Ardys,1948-03-26,674
Dede,1940-09-25,358
Berta,1977-08-18,306
Drucie,1961-10-23,102
Marnia,2012-03-14,741
Angelique,1955-07-10,864
Celene,1983-02-22,167
Rosene,1991-02-01,508
Tersina,1919-02-12,898
Modestia,2019-05-30,242
Etta,1912-07-03,426
Daphne,1983-04-08,154
Ulrike,1946-10-12,276
Fidelia,1933-01-06,640
Fredericka,1985-05-19,879
Kenna,1953-08-09,17
Phylis,1974-07-15,759
Gretal,1961-01-29,638
Binny,1986-07-15,387
Dorice,1979-08-07,588
Mara,1993-07-03,336
Clary,1927-10-05,264
Lexine,1943-07-17,784
Lorie,1901-07-09,943
Norine,1939-04-30,552
Max,2012-04-13,450
Ethel,1985-01-10,774
Jaime,1970-07-15,840
Anthia,2003-08-24,412
Lanna,1993-03-27,850
Lucy,1943-11-21,413
Ira,1922-04-14,794
Gertrud,1912-04-12,477
Penelopa,2010-03-05,90
Kristina,1969-04-07,593
Marcelline,1940-04-17,963
Rori,1911-09-20,894
Maisey,1935-03-11,95
Ardys,1921-10-25,823
Beatriz,1986-07-12,760
Genevra,2003-12-29,256
Shannah,1998-10-22,650
Codie,1934-06-10,398
Elbertina,1905-03-11,540
Laure,1987-04-28,516
Jacquetta,1957-06-22,385
Marnia,1918-09-19,756
Antonietta,1923-11-23,584
Alie,1988-04-19,43
Rhoda,1920-01-09,18
Edyth,2006-06-21,337
Allyce,2002-06-29,292
Sherrie,1964-06-21,169
Aeriela,1953-08-04,454
Britte,1905-01-11,143
Lilith,2012-11-15,829
Ernesta,1915-12-26,817
Devina,1920-12-15,36
Esmeralda,1962-03-01,19
Nanete,1913-11-28,640
Marti,2002-06-16,492
Arlina,1957-07-21,545
Alameda,1924-05-26,357
Danny,1925-12-22,449
Vivia,2003-07-11,191
Julieta,2019-12-05,672
Gisela,1992-08-26,73
Hildegaard,1954-07-01,673
Quintina,1979-03-30,873
Mathilda,1915-04-17,26
Max,1946-08-08,502
Demetris,2008-12-02,336
Daryl,1940-06-16,519
Amelia,1913-08-20,856
Arlina,1915-12-11,196
Devina,2015-02-11,723
Florencia,1967-12-06,522
Barbara,1988-05-25,982
Aimil,1950-06-19,889
Deane,1910-12-29,103
Hayley,1996-06-29,951
Alia,1971-04-03,610
Aigneis,2019-10-15,858
Livvyy,1956-11-01,350
Kirbee,1936-07-22,375
Cathie,1935-03-08,221
Minda,1935-12-20,44
Doralynne,1970-08-12,859
Daune,1964-12-05,417
Lorenza,1922-02-20,767
Chickie,1937-10-25,839
Philis,1926-11-04,106
Patricia,1979-08-11,549
Paulita,1947-02-19,495
Shirlee,1942-10-06,889
Ilse,1939-12-07,849
Lenna,1958-10-21,462
Cherrita,1957-09-04,492
Sophia,1957-10-20,522
Almeta,1979-04-04,56
Zsa Zsa,2019-05-21,878
Annice,1960-11-25,356
Kial,1979-03-08,785
Liana,1940-06-26,666
Pearline,1918-01-11,357
Gertrud,1977-02-07,757
Pollyanna,2012-09-11,163
Genovera,1954-09-17,688
Lucy,2016-11-25,835
Ilse,1987-04-19,498
Britni,2015-05-05,353
Benita,1985-06-09,41
Sashenka,1980-08-06,507
Lyssa,1938-04-25,156
Sharlene,1959-09-21,54
Mathilda,1928-08-24,879
Shaine,2003-10-03,187
Trudie,1936-07-20,444
Gabriellia,1913-04-22,601
Gertrud,1956-08-28,551
Aaren,1948-11-25,788
Antonietta,1949-03-27,887
Georgina,1960-05-02,26
Josephine,1970-11-11,414
Maryellen,1922-08-18,704
Thalia,1978-10-20,342
Chickie,1903-06-13,352
Adelle,1946-08-16,338
Pierette,1955-04-12,647
Shel,1909-11-02,368
Margette,2011-04-05,167
Robinia,1925-06-06,149
Janis,1919-06-26,782
Beverley,1946-10-07,227
Sallie,1941-11-21,99
Evita,2008-03-01,810
Ebonee,1950-06-04,343
Ilse,2017-01-28,701
Xylina,1951-01-25,972
Sean,1907-06-08,196
Sandie,1914-06-17,108
Olwen,1992-03-10,868
Rubie,1922-01-05,136
Ida,1914-04-22,910
Lacie,1908-08-19,631
Paulita,2007-07-23,883
Tracey,1905-03-29,614
Dotty,1950-05-26,119
Binny,1959-09-20,339
Elsie,1954-09-11,752
Brianna,1907-11-07,287
Romona,1965-01-17,140
Amalie,1956-12-08,304
Xylina,1947-07-04,581
Georgetta,1935-06-30,522
Meghann,1944-11-14,213
Elka,1934-06-23,123
Vinita,1966-03-26,395
Annice,1938-01-11,118
Imojean,1960-08-18,989
Fredericka,1994-04-14,666
Gilligan,1913-04-11,556
Ofilia,1979-04-25,689
Donnie,2017-06-25,864
Tybie,1933-02-07,730
Bertine,1934-01-27,488
Clary,2006-06-17,535
Letizia,1933-07-28,487
Steffane,1910-01-18,885
Corene,1959-10-03,165
Dotty,1951-07-16,421
Fanchon,1903-06-01,782
Brianna,1926-08-31,7
Valera,1932-07-28,931
Roseline,2016-04-13,809
Ira,1978-10-27,340
Berta,1991-10-16,590
Berget,1915-11-04,921
Tarra,2007-02-17,956
Wileen,1956-12-11,100
Susette,1999-11-07,151
Jobi,1991-02-19,27
Debee,2006-12-16,440
Marnia,1985-01-05,471
Jenilee,1980-05-08,27
Tybie,1957-03-13,885
Amii,1936-11-26,171
Daryl,1931-12-25,737
Johna,1907-03-07,886
Carmela,1924-04-04,700
Elfreda,1988-05-19,991
Louella,1984-10-22,694
Kamilah,1952-04-15,304
Ottilie,1940-09-30,666
Emelina,1974-02-21,771
Rhea,2003-12-30,249
Marjie,1929-09-18,247
Danika,1916-12-13,208
Flo,1964-06-07,345
Darci,2005-12-15,422
Robbi,1906-09-09,717
Jemie,1967-11-24,281
Caryl,1951-12-12,578
Rozele,1950-04-23,371
Minda,1933-11-28,288
Amara,1934-07-08,318
Adele,1924-03-17,874
Di,1905-05-04,129
Johna,1968-06-11,354
Iseabal,1957-07-22,570
Katharina,1956-04-29,3
Marleah,1907-11-06,303
Ebonee,1907-03-23,229
Nickie,1941-08-04,455
Phylis,2016-07-13,383
Patricia,2001-05-28,215
Laurene,1918-05-20,773
Sonni,1904-10-25,26
Leona,1976-10-26,687
Gaylene,1936-04-20,448
Ira,1930-01-12,180
Neila,1906-02-14,894
Demetris,1918-09-22,54
Annora,2018-06-13,539
Marjie,1972-06-18,501
Florencia,1994-04-08,932
Meghann,1957-06-30,874
Adele,1993-04-24,211
Jolyn,2002-07-24,956
Latisha,1939-07-14,398
Di,1981-12-28,332
Kate,1997-03-21,159
Gui,1949-12-12,916
Jean,2003-05-14,484
Tina,1928-07-07,95
Elyssa,1931-10-01,616
Sophia,1940-03-11,323
Ericka,2018-02-19,645
Regina,1941-09-20,860
Libbie,1927-09-24,831
Kayla,1994-04-10,348
Elbertina,1961-05-23,158
Michaelina,1945-08-05,321
Britni,1932-02-18,580
Shaine,2008-07-28,698
Elbertina,1917-12-02,600
Britni,1931-04-13,93
Rhea,1922-02-13,241
Courtnay,1923-02-18,546
Shirlee,1962-05-22,819
Marguerite,1976-12-25,938
Blondelle,1986-07-18,358
Angela,1966-04-15,3
Sean,1999-10-22,497
Ketti,1949-07-18,673
Ada,1957-11-05,864
Karly,1903-01-25,71
Ardys,2016-10-27,134
Lesly,1947-03-16,996
Kayla,1916-05-22,944
Ayn,1960-11-19,336
Ulrike,1987-10-31,55
Lory,1924-08-01,386
Averyl,1985-09-08,399
Deane,1977-02-06,947
Rori,1937-05-02,12
Dorene,1904-11-20,902
Myriam,1995-09-07,545
Orsola,2015-04-21,38
Alisha,1952-02-26,12
Yvonne,1972-10-19,961
Jere,1921-07-04,69
Kristan,1925-04-03,638
Karolina,1946-03-10,340
Alia,1940-04-13,573
Cam,1996-07-10,152
Olivette,1903-01-15,613
Kristan,1966-01-16,949
Coral,1981-06-25,884
Sindee,1958-06-02,259
Dione,1921-12-30,740
Alex,1977-01-30,606
Amelia,1909-10-09,183
Harrietta,1951-06-09,204
Dawn,1941-02-26,598
Lily,1971-06-17,757
Elena,2003-12-10,240
Melodie,1950-10-31,302
Roxane,1910-08-24,23
Frances,1959-07-31,260
Perry,1997-11-28,702
Cherrita,1931-04-25,955
Orelia,1934-05-18,521
Lila,1956-12-26,93
Etta,1900-09-30,676
Barbi,1989-03-28,406
Lorne,1974-04-26,545
Amalie,1990-12-26,558
Jolyn,1930-11-10,671
Ana,2006-12-16,830
Suzette,1934-05-23,977
Jere,1937-02-22,420
Joeann,1995-05-15,790
Molli,2012-08-29,268
Mignon,1987-06-04,315
Vanessa,1987-07-13,296
Briney,1962-01-06,991
Ada,2003-01-06,860
Sherrie,1979-05-31,159
Aimil,1909-12-29,324
Ann-Marie,1995-03-19,979
Nita,1973-02-25,945
Hope,2002-08-01,870
Moyna,2019-02-13,479
Camile,1913-04-22,752
Danny,1988-09-15,82
Roz,1947-11-29,999
Petronia,1964-05-24,346
Sabina,1912-03-29,763
Jere,1964-12-07,721
Averyl,1968-03-01,770
Mariann,1918-12-18,335
Aaren,1961-02-09,154
Molli,1971-06-05,372
Carolina,1994-10-27,776
Roseline,1982-07-26,106
Konstance,1956-07-15,460
Ariela,1912-03-09,28
Jere,1984-05-16,155
Etta,1926-12-08,321
Jillayne,1944-01-05,65
Hallie,2017-09-20,271
Inga,2003-05-12,819
Minda,1973-11-06,980
Selia,1923-11-25,624
Albertina,1995-07-13,478
Melanie,1986-05-28,329
Helsa,2014-01-12,649
Karina,2007-01-23,627
Sashenka,1921-11-09,80
Alia,1909-11-03,742
Mellicent,1958-08-30,626
Mignon,1982-02-20,901
Gale,1924-09-12,882
Rosanne,1999-10-21,785
Beatriz,1967-11-01,80
Frances,2008-03-26,210
Norine,1944-10-04,677
Gilda,1924-01-25,961
Grier,1906-05-10,743
Philis,1947-09-01,403
Hildegaard,1956-07-17,229
Robinia,2005-09-22,289
Jinny,1906-02-24,561
Gertrud,1943-02-12,924
Winny,1961-12-08,489
Aurelie,1934-05-08,762
Coral,1923-11-10,409
Deirdre,1994-01-08,743
Cissiee,1992-03-02,704
Mignon,1911-04-26,648
Pamella,2009-10-25,97
Isa,1976-12-04,306
Modestia,2006-10-27,187
Bibby,1938-09-26,627
Ayn,1962-11-25,153
Charissa,1960-02-29,191
Sheree,1918-09-15,943
Tamqrah,1915-08-04,557
Madalyn,1967-07-06,372
Brooks,2007-02-14,580
Kial,1983-07-13,829
Gianina,1955-03-16,354
Krystle,1919-03-09,309
Juliane,1967-02-16,226
Magdalena,1982-11-22,378
Janeczka,1930-07-16,199
Bill,2012-08-10,190
Ekaterina,1960-08-24,714
Dorene,1950-11-16,709
Maurene,1987-08-29,951
Nariko,1920-05-23,735
Lynnea,1967-09-25,854
Kittie,1901-09-21,187
Edith,1994-10-18,767
Jenda,1953-09-30,971
Carly,1969-09-25,713
Ingrid,1972-08-11,102
Justinn,1944-03-26,646
Orsola,1997-10-12,783
Emma,1900-10-25,465
Annice,1939-06-05,592
Rosabelle,2004-02-11,16
Priscilla,2004-08-25,888
Rosanne,2008-08-12,998
Ada,1923-09-12,858
Agathe,1986-09-19,83
Edee,1959-06-26,42
Gusella,1982-06-28,119
Hettie,1992-03-01,195
Lila,1930-06-27,886
Jan,1924-10-24,167
Merry,1993-09-13,457
Valli,2004-05-18,854
Dede,1965-06-29,481
Frances,1999-11-21,434
Aimil,1926-08-26,380
Agnese,1979-12-30,179
Molli,1995-06-21,831
Clary,1905-03-12,638
Merci,1945-01-17,228
Alleen,2010-09-06,72
Eve,1995-07-25,786
Aaren,1957-07-29,68
Joane,1955-07-13,995
Yvonne,1914-01-30,793
Christian,1994-01-24,771
Teddie,2018-09-25,399
Dacia,1963-11-17,720
Queenie,1972-06-01,675
Roseline,1922-02-11,842
Corry,1949-09-01,798
Christian,1939-10-24,840
Ofilia,1910-03-03,167
Celene,1944-02-09,357
Korrie,1988-06-05,110
Therine,1998-04-03,67
Minda,2002-04-12,257
Bibby,2017-05-03,307
Tina,1967-01-24,155
Marsiella,1933-04-12,277
Monika,1935-12-27,962
Vere,1999-08-23,300
Catrina,1985-08-30,347
Paule,2002-08-08,964
Shell,1911-03-09,486
Brynna,1988-09-11,199
Norine,2017-05-02,895
Elise,1974-08-21,492
Sashenka,1943-06-16,482
Cassondra,2012-12-24,227
Krystle,1991-10-25,617
Marita,1913-11-11,489
Sissy,1924-12-02,873
Maisey,1922-09-14,234
Gwenneth,1964-03-04,857
Rosaline,1985-09-05,616
Sheelagh,1921-12-20,725
Magdalena,1995-04-24,283
Hallie,1937-01-20,758
Leeanne,2014-12-11,874
Cindelyn,1944-06-02,922
Amalie,1955-02-15,170
Almeta,1942-10-11,731
Edee,2008-06-19,384
Aili,1999-06-09,792
Evita,2014-10-25,304
Kelly,1969-04-03,50
Hannis,1989-01-23,937
Aeriela,1944-06-14,902
Kara-Lynn,1911-02-08,704
Evita,1930-07-22,88
Bee,1977-08-21,662
Dacia,1937-04-19,141
Krystle,1938-09-27,603
Catharine,1952-10-10,472
Sybille,1983-09-22,584
Doro,1925-02-23,201
Leeanne,2016-07-07,462
Devina,2004-10-19,668
Ana,1927-12-03,977
Mellicent,1963-12-16,714
Melodie,1966-03-02,814
Rivalee,1992-10-02,801
Elise,1971-10-07,902
Jaclyn,1928-05-30,243
Letizia,2008-01-03,375
Georgina,2017-02-20,701
Hayley,1972-11-09,439
Dorice,1986-09-28,857
Althea,1959-02-09,524
Romona,1927-11-21,43
Dennie,2005-10-12,696
Nananne,1987-10-14,167
Damaris,1919-01-19,545
Albertina,2007-11-05,39
Lesly,2005-03-29,591
Ninnetta,1900-12-18,468
Aryn,2011-09-29,999
Felice,1918-01-31,2
Cherrita,1960-01-27,310
Kathy,1907-12-16,394
Deirdre,1903-12-28,303
Ninnetta,1983-12-09,178
Rebeca,1989-11-11,523
Verla,1917-04-19,481
Annecorinne,1921-11-17,579
Shaine,1957-03-05,522
Moyna,1979-02-20,231
Tersina,1981-04-30,178
Marjie,1991-11-02,993
Consuela,1986-04-26,707
Mady,2016-02-20,556
Marinna,1994-08-18,313
Tera,1993-05-16,769
Elka,1906-01-03,626
Andeee,1932-06-13,208
Cherilyn,1998-03-09,760
Ingrid,1966-10-13,293
Tera,1946-03-29,846
Goldie,2015-01-18,403
Sashenka,1933-05-27,907
June,1947-12-10,71
Flo,1999-07-14,769
Andeee,1957-04-20,536
Ariela,2002-08-01,166
Deirdre,2001-12-31,34
Marline,1922-10-17,84
Shauna,1942-02-24,344
Modestia,2002-04-25,563
Ada,1968-04-09,598
Gloria,1917-02-09,668
Leontine,2011-04-02,694
Lynnea,2010-03-17,177
Ana,1917-01-28,349
Oralee,1918-12-30,911
Daryl,2001-09-10,435
Lexine,1918-12-19,754
Rani,1977-12-30,229
Daphne,1964-08-14,520
Maisey,1911-08-24,200
Merry,1983-01-14,346
Emmey,1942-12-12,899
Bertine,1958-02-24,60
Karena,1930-06-18,157
Mallory,1971-04-07,13
Cassandra,1992-11-10,229
Brana,1920-07-19,258
Madeleine,1924-02-10,806
Netty,1940-05-28,92
Kristina,1950-10-16,425
Clary,1915-11-29,99
Madeleine,1973-03-18,786
Pierette,1981-10-17,553
Katuscha,1974-08-20,684
Micheline,1920-08-31,143
Nananne,1913-02-14,364
Jacenta,2009-08-17,224
Basia,1922-12-31,618
Lonnie,1963-07-31,295
Darci,2017-09-26,209
Asia,1956-07-09,496
Cristine,1903-11-11,757
Netty,2006-09-18,79
Ezmeralda,1925-10-15,650
Hollie,1963-10-28,114
Ottilie,1922-04-01,207
Nessie,1986-12-09,363
Abbie,1923-03-29,775
Shirlee,1939-04-13,796
Violet,1929-05-01,193
Belinda,1968-12-06,827
Ezmeralda,1991-11-08,99
Basia,1901-05-26,118
Gabi,1925-09-21,836
Cacilie,1973-12-19,687
Lily,1962-06-01,789
Stevana,1984-01-21,337
Jany,1932-04-14,492
Marline,1908-09-26,851
Queenie,2005-01-12,55
Valeda,1983-08-16,388
Halette,1907-03-31,509
Heida,2006-01-16,827
Leia,1981-04-04,999
Aeriela,1982-12-19,368
Minne,1941-06-10,60
Lita,1903-01-26,164
Angelique,1958-11-10,12
Tomasina,1984-04-14,988
Nita,1993-05-20,229
Lindie,2011-07-17,412
Angela,1933-08-05,639
Phylis,2001-09-25,95
Farrah,1931-02-10,114
Yvonne,2001-04-11,183
Betta,1978-04-19,259
Latisha,2010-06-04,672
Phedra,1953-01-16,722
Corene,1989-05-07,730
