Song,Date,Total Number of Plays for Date
Jsandye,1955-07-22,499
Jsandye,1977-04-30,195
Jsandye,1995-08-24,622
Jsandye,2008-09-14,807
Jsandye,2011-05-07,999
Jsandye,2014-08-09,584
Jsandye,2017-01-20,655
Jsandye,2017-04-21,313
Jsandye,2018-05-24,743
Judy,1924-02-05,577
Judy,1926-08-11,413
Judy,1926-09-27,756
Judy,1949-10-08,980
Judy,1969-07-14,456
Judy,1974-06-09,629
Judy,2013-04-16,714
Judy,2014-04-22,884
Juliane,1900-01-05,209
Juliane,1902-11-25,45
Juliane,1919-11-18,512
Juliane,1933-01-18,178
Juliane,1936-03-22,24
Juliane,1938-12-19,201
Juliane,1941-01-12,1000
Juliane,1955-09-08,802
Juliane,1960-04-05,761
Juliane,1963-04-22,258
Juliane,1966-12-27,821
Juliane,1967-02-16,226
Juliane,1968-03-10,865
Juliane,1991-06-11,839
Juliane,2000-10-18,531
Juliane,2018-10-09,135
Julieta,1900-10-09,158
Julieta,1915-07-31,196
Julieta,1916-10-07,54
Julieta,1921-04-24,842
Julieta,1925-12-10,375
Julieta,1927-10-25,643
Julieta,1931-03-14,965
Julieta,1946-01-03,499
Julieta,1952-11-20,236
Julieta,1959-11-12,3
Julieta,1969-07-02,798
Julieta,1981-10-17,430
Julieta,1983-02-01,348
Julieta,1989-12-12,298
Julieta,2005-10-25,350
Julieta,2009-07-12,88
Julieta,2019-12-05,672
June,1904-05-16,361
June,1914-06-05,493
June,1939-05-24,826
June,1947-06-25,521
June,1947-12-10,71
June,1961-09-27,740
June,1964-08-29,988
June,1980-10-31,800
June,2004-08-12,905
June,2004-09-28,963
June,2017-01-08,680
June,2017-10-11,809
Justinn,1905-10-01,160
Justinn,1913-05-11,939
Justinn,1915-02-05,809
Justinn,1919-05-20,998
Justinn,1929-08-28,819
Justinn,1942-05-07,8
Justinn,1944-03-26,646
Justinn,1949-09-04,599
Justinn,1957-03-31,791
Justinn,1958-02-17,744
Justinn,1960-11-07,161
Justinn,1972-09-04,689
Justinn,1973-05-26,571
Justinn,1973-07-15,791
Justinn,1977-09-17,626
Justinn,1988-03-23,175
Justinn,1996-07-26,480
Justinn,1999-09-19,765
Justinn,2003-01-10,860
Justinn,2005-02-03,254
Justinn,2011-01-12,746
Kaia,1917-05-20,673
Kaia,1919-05-15,917
Kaia,1933-09-11,776
Kaia,1955-08-27,718
Kaia,1959-12-02,88
Kaia,1970-07-01,529
Kaia,1978-06-25,507
Kaia,1982-11-11,921
Kaia,1993-06-19,969
Kaia,2003-02-12,120
Kaja,1915-11-01,645
Kaja,1930-01-05,271
Kaja,1934-12-28,986
Kaja,1941-07-28,796
Kaja,1945-04-13,49
Kaja,1946-02-13,37
Kaja,1952-04-30,852
Kaja,1963-01-25,888
Kaja,1964-03-14,364
Kaja,1984-08-13,235
Kaja,1990-11-03,841
Kaja,1993-03-20,946
Kaja,2001-10-30,59
Kaja,2012-07-23,311
Kaja,2019-07-19,917
Kalina,1902-11-16,493
Kalina,1907-06-02,976
Kalina,1909-06-19,429
Kalina,1912-03-06,770
Kalina,1943-06-12,916
Kalina,1955-03-11,800
Kalina,1960-03-19,158
Kalina,1973-06-28,695
Kalina,1977-06-24,367
Kalina,1980-04-28,116
Kalina,1988-11-27,377
Kalina,1994-11-28,173
Kalina,2004-09-03,268
Kalina,2005-09-26,993
Kalina,2009-03-11,545
Kamilah,1923-04-29,491
Kamilah,1935-12-27,322
Kamilah,1938-10-19,472
Kamilah,1941-09-24,396
Kamilah,1951-02-07,683
Kamilah,1952-04-15,304
Kamilah,1966-11-24,576
Kamilah,1970-06-10,260
Kamilah,1972-03-22,506
Kamilah,1973-02-06,203
Kamilah,1978-06-01,711
Kamilah,1979-11-18,41
Kamilah,1985-10-19,97
Kamilah,1987-06-30,262
Kamilah,1987-08-16,442
Kamilah,1995-08-03,498
Kamilah,1996-03-20,200
Kamilah,2005-06-08,802
Kamilah,2012-04-23,85
Kamilah,2018-04-10,573
Kara-Lynn,1903-03-24,36
Kara-Lynn,1908-08-21,422
Kara-Lynn,1909-03-16,518
Kara-Lynn,1909-06-05,553
Kara-Lynn,1911-01-04,911
Kara-Lynn,1911-02-08,704
Kara-Lynn,1911-07-01,790
Kara-Lynn,1917-11-20,146
Kara-Lynn,1918-12-31,546
Kara-Lynn,1920-08-09,734
Kara-Lynn,1929-10-06,999
Kara-Lynn,1932-12-07,644
Kara-Lynn,1938-08-08,233
Kara-Lynn,1947-01-10,975
Kara-Lynn,1954-07-13,640
Kara-Lynn,1961-01-01,398
Kara-Lynn,1976-09-10,315
Kara-Lynn,1981-03-21,802
Kara-Lynn,2016-06-18,773
Karena,1919-11-07,337
Karena,1927-09-21,937
Karena,1930-06-18,157
Karena,1946-07-18,451
Karena,1970-08-18,278
Karena,1987-09-22,639
Karena,2014-12-22,998
Karina,1911-04-11,79
Karina,1912-04-26,516
Karina,1916-02-14,613
Karina,1933-04-02,474
Karina,1942-07-01,997
Karina,1956-08-24,865
Karina,1956-09-02,985
Karina,1970-05-15,720
Karina,1989-12-23,13
Karina,1993-12-07,13
Karina,2007-01-23,627
Karina,2012-06-22,574
Karina,2013-05-31,168
Karlee,1901-05-29,481
Karlee,1905-08-17,882
Karlee,1908-08-05,91
Karlee,1943-05-20,17
Karlee,1952-10-09,189
Karlee,1967-09-10,704
Karlee,1972-02-07,264
Karlee,1972-08-16,627
Karlee,1977-04-18,325
Karlee,1978-10-15,97
Karlee,1982-04-10,74
Karlee,1984-04-07,287
Karlee,1985-06-03,857
Karly,1902-06-01,123
Karly,1903-01-25,71
Karly,1904-05-26,160
Karly,1917-05-07,259
Karly,1919-12-22,343
Karly,1933-12-04,673
Karly,1943-10-30,182
Karly,1960-12-29,12
Karly,1981-10-05,147
Karly,1998-04-29,619
Karly,2014-11-01,386
Karly,2018-12-08,774
Karly,2019-11-03,525
Karolina,1909-07-14,727
Karolina,1913-09-15,565
Karolina,1929-02-16,881
Karolina,1946-02-20,929
Karolina,1946-03-10,340
Karolina,1950-10-16,843
Karolina,1960-09-06,371
Karolina,1961-09-29,796
Karolina,1964-08-08,273
Karolina,1966-09-13,562
Karolina,1968-06-02,304
Karolina,1976-09-09,444
Karolina,1980-10-10,129
Karolina,1987-10-12,379
Karolina,1996-12-07,257
Karolina,1999-06-02,418
Karolina,2014-02-22,62
Karolina,2016-02-11,313
Kary,1912-07-01,72
Kary,1914-10-14,547
Kary,1926-10-05,173
Kary,1929-04-10,429
Kary,1932-10-30,235
Kary,1935-02-25,124
Kary,1956-01-01,636
Kary,1960-08-20,356
Kary,1974-10-19,505
Kary,1988-03-24,805
Kary,1990-08-02,186
Kary,2008-07-01,348
Kary,2016-04-05,768
Kassey,1931-12-21,431
Kassey,1938-06-25,140
Kassey,1945-07-31,886
Kassey,1975-01-09,366
Kassey,1992-03-05,100
Kassey,2015-10-19,273
Kassey,2017-01-20,15
Kate,1905-10-11,749
Kate,1910-10-10,382
Kate,1919-08-05,635
Kate,1923-01-09,546
Kate,1946-05-16,48
Kate,1954-11-14,810
Kate,1964-07-02,544
Kate,1972-07-19,174
Kate,1990-03-30,55
Kate,1994-01-01,27
Kate,1994-04-17,744
Kate,1995-01-29,948
Kate,1997-03-21,159
Kate,2002-08-31,899
Kate,2013-04-17,880
Katharina,1909-09-25,514
Katharina,1917-11-12,900
Katharina,1928-10-03,792
Katharina,1945-06-16,528
Katharina,1945-11-09,39
Katharina,1956-04-29,3
Katharina,1980-07-22,167
Katharina,1989-07-23,501
Katharina,2012-03-29,743
Kathi,1902-04-09,863
Kathi,1911-02-28,697
Kathi,1914-02-06,705
Kathi,1915-08-25,249
Kathi,1925-10-07,679
Kathi,1963-06-25,676
Kathi,1965-12-27,441
Kathi,1968-07-23,585
Kathi,2004-02-24,899
Kathi,2013-09-21,633
Kathy,1907-03-11,112
Kathy,1907-12-16,394
Kathy,1908-11-07,449
Kathy,1925-06-08,990
Kathy,1938-09-21,789
Kathy,1954-02-06,475
Kathy,1961-11-13,346
Kathy,1978-03-06,310
Kathy,1978-07-03,450
Kathy,1980-06-26,749
Kathy,1990-12-01,42
Kathy,1997-12-19,877
Kathy,2004-04-17,494
Katleen,1902-10-18,786
Katleen,1907-04-17,281
Katleen,1907-12-23,531
Katleen,1911-01-10,175
Katleen,1920-08-06,16
Katleen,1946-03-14,520
Katleen,1961-12-09,231
Katleen,1969-07-29,745
Katleen,1976-07-13,780
Katleen,1984-03-16,201
Katleen,1991-09-15,287
Katleen,1999-02-18,181
Katleen,2002-02-18,259
Katuscha,1900-11-25,579
Katuscha,1911-11-07,467
Katuscha,1922-03-04,183
Katuscha,1924-09-12,74
Katuscha,1939-07-25,9
Katuscha,1947-08-25,223
Katuscha,1948-04-10,659
Katuscha,1949-08-28,735
Katuscha,1969-01-02,382
Katuscha,1974-08-20,684
Katuscha,1996-03-17,700
Kayla,1912-10-23,9
Kayla,1916-05-22,944
Kayla,1918-07-14,266
Kayla,1942-11-27,273
Kayla,1944-04-27,141
Kayla,1944-05-27,155
Kayla,1956-10-07,894
Kayla,1958-04-18,731
Kayla,1963-10-14,759
Kayla,1975-01-14,376
Kayla,1981-01-08,446
Kayla,1984-11-30,575
Kayla,1994-04-10,348
Kayla,1998-04-15,286
Kayla,1998-05-10,23
Kayla,2012-04-26,817
Keelia,1915-03-30,782
Keelia,1924-05-31,493
Keelia,1929-02-13,205
Keelia,1932-04-04,479
Keelia,1933-05-29,518
Keelia,1938-03-03,744
Keelia,1939-05-31,589
Keelia,1939-06-25,985
Keelia,1960-11-24,520
Keelia,1987-09-09,496
Keelia,2014-11-21,265
Keelia,2015-10-23,830
Kellen,1900-08-05,761
Kellen,1905-12-31,217
Kellen,1931-07-30,17
Kellen,1934-01-04,921
Kellen,1949-11-02,69
Kellen,1957-04-24,56
Kellen,1971-03-13,388
Kellen,1977-09-02,529
Kellen,1980-04-26,32
Kellen,1982-03-07,86
Kellen,1995-05-31,179
Kellen,1999-03-27,822
Kellen,1999-12-19,199
Kellen,2014-08-02,729
Kelly,1911-12-22,657
Kelly,1943-08-03,523
Kelly,1944-01-31,958
Kelly,1951-04-08,171
Kelly,1953-02-10,773
Kelly,1957-08-22,152
Kelly,1958-04-19,84
Kelly,1958-06-19,650
Kelly,1961-05-21,923
Kelly,1966-03-02,669
Kelly,1966-07-11,581
Kelly,1969-04-03,50
Kelly,1969-05-22,408
Kelly,1982-10-07,635
Kelly,1987-11-25,539
Kelly,1992-03-03,920
Kelly,2008-12-18,21
Kelly,2016-05-21,535
Kenna,1906-06-19,665
Kenna,1909-03-24,18
Kenna,1913-08-25,641
Kenna,1914-04-15,281
Kenna,1935-06-06,924
Kenna,1945-11-07,46
Kenna,1947-04-06,374
Kenna,1953-08-09,17
Kenna,1956-07-21,231
Kenna,1958-10-14,630
Kenna,1970-07-04,978
Kenna,1978-01-22,944
Kenna,1981-06-29,75
Kenna,1982-07-19,545
Kenna,2007-10-10,518
Kenna,2012-02-25,406
Kerrin,1928-05-05,56
Kerrin,1931-07-03,278
Kerrin,1936-11-24,885
Kerrin,1950-05-25,879
Kerrin,1977-08-06,342
Kerrin,1988-05-01,917
Kerrin,1990-08-09,269
Kerrin,1997-09-03,170
Kerrin,1998-04-20,108
Ketti,1911-10-02,764
Ketti,1913-08-29,687
Ketti,1942-03-13,963
Ketti,1949-07-18,673
Ketti,1960-10-21,153
Ketti,1970-04-04,897
Ketti,1972-09-15,540
Ketti,1977-09-06,163
Ketti,1978-11-28,69
Ketti,1987-11-22,292
Ketti,1998-06-27,816
Ketti,2001-02-05,491
Ketti,2010-10-11,543
Ketti,2018-02-04,370
Kial,1903-12-15,7
Kial,1907-03-14,721
Kial,1929-09-06,731
Kial,1933-11-25,727
Kial,1939-09-02,485
Kial,1951-09-29,414
Kial,1954-07-24,447
Kial,1959-02-25,673
Kial,1959-11-08,133
Kial,1975-08-03,511
Kial,1979-03-08,785
Kial,1983-07-13,829
Kial,1988-05-23,589
Kial,1990-05-14,954
Kial,1990-12-20,558
Kial,2011-09-03,62
Kial,2013-02-18,134
Kial,2017-02-18,756
Kimberley,1914-06-20,102
Kimberley,1915-06-17,843
Kimberley,1923-06-07,700
Kimberley,1933-07-14,924
Kimberley,1938-11-23,873
Kimberley,1939-04-30,575
Kimberley,1948-12-31,546
Kimberley,1949-11-21,312
Kimberley,1956-01-10,252
Kimberley,1971-10-10,207
Kimberley,1971-12-26,659
Kimberley,1979-10-11,458
Kimberley,1987-09-05,47
Kimberley,1989-10-09,957
Kimberley,1992-12-08,913
Kimberley,2008-08-28,459
Kimmy,1904-10-02,344
Kimmy,1936-01-28,230
Kimmy,1938-12-15,696
Kimmy,1959-01-24,821
Kimmy,1960-08-07,435
Kimmy,1973-07-28,433
Kimmy,2004-05-17,312
Kimmy,2007-10-17,535
Kimmy,2012-06-06,79
Kirbee,1925-10-02,710
Kirbee,1934-03-07,189
Kirbee,1936-07-22,375
Kirbee,1936-10-04,42
Kirbee,1951-10-02,907
Kirbee,1975-04-24,672
Kirbee,1980-12-15,874
Kirbee,1988-04-22,207
Kirbee,1991-01-21,159
Kirbee,2007-04-01,473
Kirbee,2018-10-01,213
Kirbee,2019-08-18,527
Kirstin,1909-12-16,460
Kirstin,1933-07-21,644
Kirstin,1938-08-15,390
Kirstin,1970-04-02,140
Kirstin,1985-04-22,360
Kirstin,1994-09-25,149
Kirstin,1997-08-21,720
Kirstin,1997-11-17,867
Kirstin,2000-02-09,630
Kirstin,2003-02-05,579
Kirstin,2018-07-05,648
Kittie,1901-09-21,187
Kittie,1917-10-04,696
Kittie,1925-09-22,54
Kittie,1932-04-16,385
Kittie,1946-08-22,707
Kittie,1958-02-07,110
Kittie,1967-04-06,738
Kittie,1990-04-03,907
Kittie,1993-01-31,931
Kittie,2014-06-24,912
Kittie,2014-09-07,814
Kittie,2019-04-07,661
Konstance,1905-03-25,742
Konstance,1937-09-28,950
Konstance,1947-03-29,645
Konstance,1956-07-15,460
Konstance,1979-06-12,985
Konstance,1981-09-21,353
Konstance,1990-12-27,239
Konstance,1992-01-15,148
Konstance,2000-06-16,802
Konstance,2009-01-12,210
Konstance,2019-07-06,170
Kore,1901-04-15,240
Kore,1902-10-07,847
Kore,1908-09-06,952
Kore,1913-12-27,927
Kore,1926-04-04,73
Kore,1931-09-29,117
Kore,1949-04-03,424
Kore,1953-05-01,518
Kore,1987-08-30,37
Kore,1999-04-08,135
Kore,2001-08-18,732
Kore,2011-08-06,326
Kore,2012-12-17,100
Korrie,1931-11-10,249
Korrie,1946-03-04,134
Korrie,1947-10-28,224
Korrie,1951-05-14,926
Korrie,1951-07-26,778
Korrie,1981-05-31,103
Korrie,1985-07-04,521
Korrie,1988-06-05,110
Korrie,2001-12-27,277
Kristan,1901-12-06,124
Kristan,1905-07-23,673
Kristan,1909-08-10,621
Kristan,1925-04-03,638
Kristan,1941-11-06,215
Kristan,1942-11-02,945
Kristan,1966-01-16,949
Kristan,1984-10-08,503
Kristan,1986-04-04,334
Kristan,1995-04-05,116
Kristan,2003-03-25,580
Kristina,1901-11-17,351
Kristina,1904-04-27,233
Kristina,1910-09-26,348
Kristina,1912-07-09,279
Kristina,1950-10-16,425
Kristina,1969-04-07,593
Kristina,1979-06-01,271
Kristina,1995-01-23,119
Kristina,2003-08-21,849
Kristina,2011-04-08,241
Krystle,1902-08-01,784
Krystle,1906-04-10,367
Krystle,1906-10-06,251
Krystle,1919-03-09,309
Krystle,1928-02-08,32
Krystle,1938-09-27,603
Krystle,1942-06-15,446
Krystle,1943-05-22,432
Krystle,1947-11-21,684
Krystle,1983-11-08,583
Krystle,1991-10-25,617
Krystle,1993-06-15,748
Krystle,2014-04-25,906
Kylynn,1909-03-22,64
Kylynn,1921-10-06,535
Kylynn,1937-09-20,93
Kylynn,1947-12-21,871
Kylynn,1950-04-11,107
Kylynn,1950-08-30,168
Kylynn,1959-08-23,876
Kylynn,1968-05-23,764
Kylynn,1973-08-19,987
Kylynn,1981-05-18,609
Kylynn,1982-11-21,369
Kylynn,1991-10-24,824
Kylynn,1995-09-20,503
Kylynn,2007-11-19,211
Kylynn,2016-11-16,771
Lacie,1908-08-19,631
Lacie,1908-08-24,404
Lacie,1924-12-26,758
Lacie,1947-02-12,146
Lacie,1951-12-17,943
Lacie,1976-04-10,594
Lacie,1986-07-05,479
Lacie,1993-06-05,819
Lacie,2001-05-12,282
Lacie,2003-08-05,133
Lacie,2019-12-31,983
Lanae,1903-08-16,586
Lanae,1904-07-10,87
Lanae,1924-10-16,231
Lanae,1929-11-27,611
Lanae,1938-10-17,654
Lanae,1945-06-28,947
Lanae,1957-01-10,776
Lanae,1963-06-23,274
Lanae,1967-04-08,511
Lanae,1969-05-24,132
Lanae,1979-03-20,76
Lanae,1979-09-21,832
Lanae,1990-06-03,313
Lanae,1996-04-09,13
Lanae,2006-06-13,235
Lanae,2008-12-07,743
Lanae,2010-05-28,705
Lanna,1913-12-29,777
Lanna,1917-01-11,356
Lanna,1928-03-13,491
Lanna,1939-07-10,152
Lanna,1942-09-13,387
Lanna,1946-08-30,142
Lanna,1953-05-22,159
Lanna,1958-11-11,889
Lanna,1961-03-12,781
Lanna,1974-01-20,72
Lanna,1987-04-16,424
Lanna,1993-03-27,850
Lanna,1995-01-30,922
Lanna,1996-04-27,338
Lanna,2003-04-18,252
Lanna,2006-11-16,58
Lanna,2008-11-22,889
Larine,1935-05-18,180
Larine,1970-10-20,127
Larine,1974-06-08,147
Larine,1976-01-15,28
Larine,1976-03-05,334
Larine,1983-01-22,846
Larine,2001-09-22,700
Larine,2005-11-07,363
Latisha,1909-05-10,725
Latisha,1919-11-04,806
Latisha,1924-08-13,884
Latisha,1939-07-14,398
Latisha,1940-08-05,899
Latisha,1943-08-11,832
Latisha,1945-10-08,868
Latisha,1948-10-23,427
Latisha,1955-11-29,958
Latisha,1966-04-18,886
Latisha,1972-06-22,6
Latisha,1978-05-13,509
Latisha,1986-11-19,1000
Latisha,1998-08-01,872
Latisha,2006-07-20,251
Latisha,2007-11-13,855
Latisha,2010-06-04,672
Latisha,2017-02-27,189
Latisha,2018-01-23,528
Laure,1901-12-29,858
Laure,1911-03-19,202
Laure,1930-06-13,996
Laure,1935-08-29,906
Laure,1945-03-14,69
Laure,1949-01-27,890
Laure,1987-04-28,516
Laure,1991-02-17,322
Laure,1994-10-17,313
Laure,2015-03-15,320
Laure,2018-06-15,601
Laurene,1902-12-14,303
Laurene,1915-10-31,741
Laurene,1918-05-20,773
Laurene,1922-06-10,512
Laurene,1927-03-30,42
Laurene,1931-02-19,384
Laurene,1939-06-12,629
Laurene,1961-12-02,232
Laurene,1970-04-27,26
Laurene,1970-08-26,929
Laurene,1976-11-23,95
Laurene,1977-04-22,832
Laurene,1978-09-16,827
Laurene,1991-12-07,848
Laurene,2004-09-10,266
Laurene,2009-09-05,931
Laurene,2012-02-27,277
Laurene,2014-03-17,501
Laurene,2019-01-22,310
Lauryn,1908-07-15,649
Lauryn,1914-06-06,912
Lauryn,1916-10-30,828
Lauryn,1932-10-06,366
Lauryn,1937-08-07,306
Lauryn,1938-04-18,990
Lauryn,1939-10-06,69
Lauryn,1948-07-05,436
Lauryn,1955-05-19,531
Lauryn,1956-02-19,968
Lauryn,1969-08-19,407
Lauryn,1974-02-07,894
Lauryn,1977-04-20,731
Lauryn,1990-05-07,227
Lauryn,2005-02-15,2
Lauryn,2006-05-26,389
Lauryn,2012-04-23,584
Layla,1908-10-25,879
Layla,1914-02-22,258
Layla,1926-12-25,250
Layla,1939-04-26,720
Layla,1942-09-27,657
Layla,1943-09-16,33
Layla,1950-11-04,148
Layla,1951-08-16,423
Layla,1960-01-25,261
Layla,1981-12-21,290
Layla,1982-04-28,755
Layla,1983-10-14,754
Layla,1987-12-18,997
Layla,1989-04-15,711
Layla,1999-05-30,419
Layla,2004-03-25,252
Layla,2006-10-19,327
Layla,2007-08-05,905
Layla,2015-05-15,252
Leanna,1903-11-17,475
Leanna,1904-08-22,876
Leanna,1918-05-22,70
Leanna,1922-04-22,388
Leanna,1930-02-04,39
Leanna,1953-11-09,799
Leanna,1977-07-18,815
Leanna,1983-05-25,737
Leanna,1988-01-16,527
Leanna,2000-08-06,475
Leanna,2008-05-17,547
Leeanne,1900-11-25,93
Leeanne,1908-07-17,820
Leeanne,1909-05-11,272
Leeanne,1928-10-10,503
Leeanne,1933-09-12,250
Leeanne,1936-07-13,409
Leeanne,1941-11-28,788
Leeanne,1945-07-23,527
Leeanne,1947-07-03,848
Leeanne,1951-11-05,556
Leeanne,1958-08-20,659
Leeanne,1965-06-21,725
Leeanne,2002-05-08,245
Leeanne,2014-12-11,874
Leeanne,2016-07-07,462
Leeanne,2019-07-05,277
Leia,1907-11-03,651
Leia,1914-11-05,195
Leia,1918-08-25,945
Leia,1919-10-26,210
Leia,1920-11-27,110
Leia,1921-03-14,88
Leia,1934-05-14,367
Leia,1936-02-21,429
Leia,1939-09-08,502
Leia,1942-08-15,9
Leia,1945-12-05,428
Leia,1948-09-23,485
Leia,1958-04-10,918
Leia,1967-01-17,449
Leia,1970-12-01,427
Leia,1980-06-19,455
Leia,1981-04-04,999
Leia,1985-10-14,142
Leia,1995-02-02,670
Leia,2000-03-06,948
Leia,2006-10-14,730
Leia,2012-07-27,895
Leia,2014-04-28,809
Leia,2015-07-14,282
Leia,2016-06-26,724
Lelah,1906-02-25,733
Lelah,1908-05-19,1
Lelah,1924-08-05,646
Lelah,1924-12-16,396
Lelah,1928-03-19,175
Lelah,1933-11-29,924
Lelah,1975-12-03,618
Lelah,1987-11-29,631
Lelah,1993-02-07,981
Lelah,2018-09-24,819
Lenna,1901-01-29,223
Lenna,1901-02-08,522
Lenna,1911-07-29,650
Lenna,1930-02-10,670
Lenna,1938-04-04,21
Lenna,1942-03-10,726
Lenna,1943-07-03,588
Lenna,1954-05-07,51
Lenna,1958-10-21,462
Lenna,1963-07-31,357
Lenna,1992-02-26,906
Lenna,1992-12-29,866
Lenna,1993-05-09,427
Lenna,2005-07-14,968
Lenna,2009-04-17,993
Leona,1909-12-29,601
Leona,1913-05-29,307
Leona,1917-04-21,862
Leona,1917-09-13,749
Leona,1928-12-23,279
Leona,1938-02-15,395
Leona,1938-02-20,380
Leona,1939-09-15,335
Leona,1943-12-25,86
Leona,1947-09-27,842
Leona,1976-10-26,687
Leona,1989-09-21,135
Leona,1991-01-28,90
Leona,1998-04-07,727
Leona,2006-11-22,167
Leona,2007-02-11,186
Leona,2012-01-31,911
Leontine,1915-12-23,222
Leontine,1936-10-19,41
Leontine,1938-07-28,962
Leontine,1949-09-20,665
Leontine,1954-05-07,105
Leontine,1964-05-05,621
Leontine,1979-05-23,763
Leontine,1984-06-27,221
Leontine,1999-09-04,616
Leontine,2011-04-02,694
Leontine,2012-06-26,646
Lesly,1907-05-25,664
Lesly,1912-08-24,32
Lesly,1918-06-19,849
Lesly,1924-10-31,778
Lesly,1925-03-06,396
Lesly,1926-10-05,695
Lesly,1947-03-16,996
Lesly,1955-04-17,899
Lesly,1959-02-17,554
Lesly,1983-09-20,729
Lesly,1998-02-03,752
Lesly,1998-12-22,941
Lesly,1999-06-04,994
Lesly,2005-03-29,591
Lesly,2005-05-05,742
Lesly,2007-02-26,676
Lesly,2007-08-28,603
Lesly,2014-09-04,772
Letizia,1910-07-29,724
Letizia,1933-07-28,487
Letizia,1947-02-15,832
Letizia,1969-09-26,176
Letizia,1974-03-13,512
Letizia,1976-08-26,729
Letizia,1989-02-09,803
Letizia,2008-01-03,375
Letizia,2012-08-22,957
Letizia,2018-02-28,138
Lexine,1905-02-16,673
Lexine,1905-06-05,910
Lexine,1906-10-07,731
Lexine,1913-03-08,612
Lexine,1918-12-19,754
Lexine,1920-06-09,345
Lexine,1925-09-22,455
Lexine,1943-07-17,784
Lexine,1962-02-20,996
Lexine,1972-12-04,616
Lexine,1980-02-11,965
Lexine,1990-09-10,807
Lexine,2005-09-24,622
Liana,1915-10-03,812
Liana,1917-01-15,139
Liana,1921-10-03,562
Liana,1922-05-13,181
Liana,1940-06-26,666
Liana,1945-10-12,972
Liana,1955-09-20,702
Liana,1956-12-20,781
Liana,1961-02-08,202
Liana,1971-05-10,935
Liana,1980-03-14,837
Liana,2005-11-06,740
Libbie,1902-09-18,962
Libbie,1908-08-22,943
Libbie,1924-10-26,370
Libbie,1927-09-24,831
Libbie,1934-09-22,265
Libbie,1940-02-02,894
Libbie,1945-08-29,898
Libbie,1958-07-20,854
Libbie,1972-06-23,313
Libbie,1981-02-05,650
Libbie,1994-07-14,546
Libbie,1994-11-16,959
Libbie,2003-08-30,229
Libbie,2014-07-31,343
Libbie,2015-12-01,7
Lila,1904-01-01,748
Lila,1908-06-01,804
Lila,1916-01-12,36
Lila,1930-06-27,886
Lila,1933-04-29,240
Lila,1956-12-26,93
Lila,1959-04-02,176
Lila,1962-05-21,6
Lila,1972-10-21,1000
Lila,1974-03-23,368
Lila,1974-08-20,297
Lila,1979-05-13,764
Lila,2004-11-14,281
Lila,2009-10-20,743
Lila,2010-01-16,737
Lilith,1910-10-02,713
Lilith,1929-03-07,934
Lilith,1951-11-18,167
Lilith,1957-11-09,233
Lilith,1966-02-08,881
Lilith,1978-03-05,590
Lilith,1979-04-17,705
Lilith,2002-12-30,509
Lilith,2004-06-09,593
Lilith,2008-12-21,611
Lilith,2012-11-15,829
Lilith,2017-05-03,222
Lily,1922-07-23,524
Lily,1947-11-09,741
Lily,1948-10-10,587
Lily,1962-06-01,789
Lily,1969-08-09,603
Lily,1971-01-11,418
Lily,1971-06-17,757
Lily,1973-04-08,427
Lily,1997-04-09,19
Lily,2005-09-28,347
Lindie,1904-05-11,829
Lindie,1917-09-12,918
Lindie,1918-10-09,518
Lindie,1920-03-20,187
Lindie,1924-01-21,161
Lindie,1950-10-10,768
Lindie,1970-12-03,97
Lindie,1973-01-02,401
Lindie,1984-05-20,939
Lindie,1985-11-23,443
Lindie,2008-01-16,542
Lindie,2011-07-17,412
Lindie,2016-10-21,229
Linet,1902-07-22,52
Linet,1906-03-17,636
Linet,1906-05-21,232
Linet,1907-09-06,465
Linet,1909-10-26,434
Linet,1918-09-30,476
Linet,1922-07-02,52
Linet,1943-05-25,537
Linet,1951-07-10,318
Linet,1955-12-02,111
Linet,1977-07-21,887
Linet,1985-06-01,195
Linet,1999-08-25,33
Linet,2007-10-22,470
Linet,2010-03-12,353
Linzy,1905-06-01,122
Linzy,1905-10-27,898
Linzy,1912-03-07,535
Linzy,1920-03-22,375
Linzy,1929-02-17,790
Linzy,1936-05-08,445
Linzy,1941-08-04,339
Linzy,1942-09-23,276
Linzy,1967-10-25,66
Linzy,1969-08-04,624
Linzy,1972-09-05,112
Linzy,1975-03-09,417
Linzy,1980-02-02,528
Linzy,1991-05-11,73
Linzy,1993-02-12,123
Linzy,2000-10-15,164
Linzy,2004-05-11,256
Linzy,2008-08-17,537
Linzy,2009-09-28,765
Linzy,2011-10-21,664
Lisette,1914-09-05,133
Lisette,1916-06-10,330
Lisette,1916-06-12,399
Lisette,1918-11-18,583
Lisette,1928-03-23,121
Lisette,1946-04-08,722
Lisette,1954-06-25,236
Lisette,1958-07-25,735
Lisette,1964-03-31,830
Lisette,1994-03-21,586
Lisette,1998-07-06,608
Lisette,2004-12-30,323
Lisette,2009-02-22,94
Lisette,2016-12-02,307
Lita,1903-01-26,164
Lita,1904-05-15,241
Lita,1906-05-30,404
Lita,1915-06-07,957
Lita,1929-01-25,422
Lita,1934-01-03,487
Lita,1935-09-04,885
Lita,1936-12-19,767
Lita,1953-10-07,531
Lita,1955-12-21,979
Lita,1957-08-14,573
Lita,1958-11-15,144
Lita,1972-04-01,891
Lita,1980-09-28,395
Lita,2000-03-29,633
Livvyy,1916-06-07,815
